Year,Month,City_encoded,avg_PM25,avg_PM10,avg_NO2,avg_AQI,Day_lag1,Day_lag2,Day_lag3,Night_lag1,Night_lag2,avg_AQI_lag1,Day_roll3,Day_roll6,Day,Night
2015,9,1,35.67865168539326,50.245000000000005,13.52011235955056,118.70786516853931,64.0,74.0,73.0,57.0,67.0,118.70786516853931,69.33333333333333,72.16666666666667,70.0,64.0
2015,9,1,35.67865168539326,50.245000000000005,13.52011235955056,118.70786516853931,70.0,64.0,74.0,64.0,57.0,118.70786516853931,67.0,71.33333333333333,67.0,66.0
2015,9,1,35.67865168539326,50.245000000000005,13.52011235955056,118.70786516853931,67.0,70.0,64.0,66.0,64.0,118.70786516853931,67.66666666666667,69.0,66.0,60.0
2015,10,1,49.24688172043011,50.24500000000001,15.21935483870968,144.74193548387098,66.0,67.0,70.0,60.0,66.0,118.70786516853931,65.66666666666667,67.5,64.0,57.0
2015,10,1,49.24688172043011,50.24500000000001,15.21935483870968,144.74193548387098,64.0,66.0,67.0,57.0,60.0,144.74193548387098,69.0,68.0,77.0,67.0
2015,10,1,49.24688172043011,50.24500000000001,15.21935483870968,144.74193548387098,77.0,64.0,66.0,67.0,57.0,144.74193548387098,71.33333333333333,69.5,73.0,63.0
2015,10,1,49.24688172043011,50.24500000000001,15.21935483870968,144.74193548387098,73.0,77.0,64.0,63.0,67.0,144.74193548387098,76.66666666666667,71.16666666666667,80.0,76.0
2015,10,1,49.24688172043011,50.24500000000001,15.21935483870968,144.74193548387098,80.0,73.0,77.0,76.0,63.0,144.74193548387098,75.66666666666667,72.33333333333333,74.0,72.0
2015,10,1,49.24688172043011,50.24500000000001,15.21935483870968,144.74193548387098,74.0,80.0,73.0,72.0,76.0,144.74193548387098,76.0,73.66666666666667,74.0,67.0
2015,10,1,49.24688172043011,50.24500000000001,15.21935483870968,144.74193548387098,74.0,74.0,80.0,67.0,72.0,144.74193548387098,71.66666666666667,74.16666666666667,67.0,57.0
2015,10,1,49.24688172043011,50.24500000000001,15.21935483870968,144.74193548387098,67.0,74.0,74.0,57.0,67.0,144.74193548387098,70.33333333333333,73.0,70.0,62.0
2015,10,1,49.24688172043011,50.24500000000001,15.21935483870968,144.74193548387098,70.0,67.0,74.0,62.0,57.0,144.74193548387098,67.66666666666667,71.83333333333333,66.0,57.0
2015,10,1,49.24688172043011,50.24500000000001,15.21935483870968,144.74193548387098,66.0,70.0,67.0,57.0,62.0,144.74193548387098,68.0,69.83333333333333,68.0,58.0
2015,11,1,39.78666666666667,50.245000000000005,12.250111111111112,120.67777777777778,68.0,66.0,70.0,58.0,57.0,144.74193548387098,68.33333333333333,69.33333333333333,71.0,68.0
2015,11,1,39.78666666666667,50.245000000000005,12.250111111111112,120.67777777777778,71.0,68.0,66.0,68.0,58.0,120.67777777777778,72.33333333333333,70.0,78.0,69.0
2015,11,1,39.78666666666667,50.245000000000005,12.250111111111112,120.67777777777778,78.0,71.0,68.0,69.0,68.0,120.67777777777778,74.33333333333333,71.16666666666667,74.0,70.0
2015,11,1,39.78666666666667,50.245000000000005,12.250111111111112,120.67777777777778,74.0,78.0,71.0,70.0,69.0,120.67777777777778,77.33333333333333,72.83333333333333,80.0,75.0
2015,11,1,39.78666666666667,50.245000000000005,12.250111111111112,120.67777777777778,80.0,74.0,78.0,75.0,70.0,120.67777777777778,74.33333333333333,73.33333333333333,69.0,69.0
2015,11,1,39.78666666666667,50.245000000000005,12.250111111111112,120.67777777777778,69.0,80.0,74.0,69.0,75.0,120.67777777777778,74.33333333333333,74.33333333333333,74.0,67.0
2015,11,1,39.78666666666667,50.245000000000005,12.250111111111112,120.67777777777778,74.0,69.0,80.0,67.0,69.0,120.67777777777778,72.33333333333333,74.83333333333333,74.0,80.0
2015,11,1,39.78666666666667,50.245000000000005,12.250111111111112,120.67777777777778,74.0,74.0,69.0,80.0,67.0,120.67777777777778,73.0,73.66666666666667,71.0,65.0
2015,11,1,39.78666666666667,50.245000000000005,12.250111111111112,120.67777777777778,71.0,74.0,74.0,65.0,80.0,120.67777777777778,72.0,73.16666666666667,71.0,71.0
2015,11,1,39.78666666666667,50.245000000000005,12.250111111111112,120.67777777777778,71.0,71.0,74.0,71.0,65.0,120.67777777777778,70.0,71.16666666666667,68.0,64.0
